character,andy,bogs,norton,red,brooks,tommy,skeet,heywood,da
neutral,0.316113157,0.366400091,0.226624738,0.363229013,0.24917126,0.296021838,0.337350062,0.356096894,0.315593517
happy,0.255348339,0.306399573,0.156789611,0.163678537,0.364936322,0.344286937,0.321887582,0.203287136,0
sad,0.24891071,0.284262469,0.107568975,0.362869718,0.348029903,0.070007638,0,0.255783418,0.054425522
surprise,0.03915086,0.098071788,0.030499786,0.092496474,0.208969469,0.174556094,0,0.173510479,0.340560034
fear,0.104044806,0.130558086,0.025462417,0.045777816,0.171574948,0,0,0.241698951,0.229178568
disgust,0,0,0,0.019804701,0,0,0,0.038935462,0.022681561
anger,0.334460929,0.320210653,0.301416296,0.14188426,0.184867607,0.141591437,0.31978045,0.366746981,0.35749684
contempt,0,0.033948521,0,0,0,0,0,0,0
entropy_sum,1.298028801,1.539851181,0.848361823,1.189740519,1.527549508,1.026463944,0.979018094,1.636059322,1.319936042
,,,,,,,,,
probability,andy,bogs,norton,red,brooks,tommy,skeet,heywood,da
neutral,0.190872103,0.401360544,0.73452381,0.427904262,0.115384615,0.620689655,0.228571429,0.278787879,0.190082645
happy,0.120820803,0.176870748,0.053571429,0.057209574,0.415384615,0.244252874,0.2,0.080808081,0
sad,0.115160092,0.149659864,0.030952381,0.430239346,0.253846154,0.017241379,0,0.121212121,0.012396694
surprise,0.008137272,0.027210884,0.005952381,0.02510216,0.084615385,0.063218391,0,0.062626263,0.23553719
fear,0.029541836,0.040816327,0.004761905,0.00992411,0.061538462,0.00862069,0,0.109090909,0.099173554
disgust,0,0,0,0.003502627,0,0,0,0.008080808,0.004132231
anger,0.535467893,0.197278912,0.170238095,0.046117922,0.069230769,0.045977011,0.571428571,0.339393939,0.458677686
contempt,0,0.006802721,0,0,0,0,0,0,0
,1,1,1,1,1,1,1,1,
,,,,,,,,,
,andy,bogs,norton,red,brooks,tommy,skeet,,
happy,0.283958447,0.360230082,0.322972725,0.230258509,0.354966925,0.283430353,0.349981001,,
sad,0.277483944,0.34657359,0.250564825,0.21430507,0.358243571,0.14050193,None,,
surprise,0.046256469,0.14050193,0.085150983,0.137176689,0.224499177,0.298626578,None,,
fear,0.12085592,0.183107546,0.072123362,0.070330374,0.185425432,0.08600431,None,,
disgust,,None,None,0.031198733,None,None,None,,
anger,0.273195066,0.365808961,0.28492727,0.202990074,0.199385808,0.255783418,0.222299698,,
contempt,,0.050878827,None,None,None,None,None,,
entropy_sum,1.001749846,1.447100936,1.015739165,0.886259451,1.322520915,1.064346589,0.572280699,,