scene_number,scene_start,neutral,happy,sad,surprise,fear,disgust,anger,contempt,emotion_sum
1,0,0,0,0,0,0,0,0,0,0
2,293,0,0,0,0,0,0,0,0,0
3,528,0,0,0,0,0,0,0,0,0
4,570,0,0,0,0,0,0,0,0,0
5,636,0,0,0,0,0,0,0,0,0
6,710,0,0,0,0,0,0,0,0,0
7,1060,0,0,0,0,0,0,0,0,0
8,1304,0,0,0,0,0,0,0,0,0
9,1426,0,0,0,0,0,0,0,0,0
10,1540,0,0,0,0,0,0,0,0,0
11,1660,0,0,0,0,0,0,0,0,0
12,1959,0,0,0,0,0,0,0,0,0
13,2589,0,0,0,0,0,0,0,0,0
14,2642,1,4,0,0,0,0,0,0,5
15,3420,0,0,0,0,0,0,0,0,0
16,3477,0,0,0,0,0,0,0,0,0
17,3955,0,0,0,0,0,0,0,0,0
18,4382,0,0,0,0,0,0,0,0,0
19,4431,0,0,0,0,0,0,0,0,0
20,4470,0,0,0,0,0,0,0,0,0
21,4512,0,0,0,0,0,0,0,0,0
22,4757,0,0,0,0,0,0,0,0,0
23,5076,0,0,0,0,0,0,0,0,0
24,5574,0,0,0,0,0,0,0,0,0
25,5648,0,0,0,0,0,0,0,0,0
26,5843,0,0,0,0,0,0,0,0,0
27,6776,0,0,0,0,0,0,0,0,0
28,6972,0,0,0,0,0,0,0,0,0
29,7026,0,0,0,0,0,0,0,0,0
30,8365,0,0,0,0,0,0,0,0,0
31,8594,0,0,0,0,0,0,0,0,0
32,8682,0,0,0,0,0,0,0,0,0
33,8941,0,0,0,0,0,0,0,0,0
34,9029,0,0,0,0,0,0,0,0,0
35,9386,0,0,0,0,0,0,0,0,0
36,9473,0,0,0,0,0,0,0,0,0
37,9511,0,0,0,0,0,0,0,0,0
38,9620,0,0,0,0,0,0,0,0,0
39,9724,0,0,0,0,0,0,0,0,0
40,9769,0,0,0,0,0,0,0,0,0
41,9838,0,0,0,0,0,0,0,0,0
42,10878,0,0,0,0,0,0,0,0,0
43,11314,0,0,0,0,0,0,0,0,0
44,11719,0,0,0,0,0,0,0,0,0
45,11991,0,0,0,0,0,0,0,0,0
46,12463,0,0,0,0,0,0,0,0,0
47,12494,0,0,0,0,0,0,0,0,0
48,13011,0,0,0,0,0,0,0,0,0
49,13093,0,0,0,0,0,0,0,0,0
50,13348,0,0,0,0,0,0,0,0,0
51,13405,0,0,0,0,0,0,0,0,0
52,13531,0,0,0,0,0,0,0,0,0
53,13869,0,0,0,0,0,0,0,0,0
54,13966,0,0,0,0,0,0,0,0,0
55,14132,0,0,0,0,0,0,0,0,0
56,14235,0,0,0,0,0,0,0,0,0
57,15067,0,0,0,0,0,0,0,0,0
58,15251,0,0,0,0,0,0,0,0,0
59,15640,0,0,0,0,0,0,0,0,0
60,15965,0,0,0,0,0,0,0,0,0
61,16337,0,0,0,0,0,0,0,0,0
62,16474,0,0,0,0,0,0,0,0,0
63,16500,0,0,0,0,0,0,0,0,0
64,16541,0,0,0,0,0,0,0,0,0
65,16608,0,0,0,0,0,0,0,0,0
66,16641,0,0,0,0,0,0,0,0,0
67,16830,0,0,0,0,0,0,0,0,0
68,16855,0,0,0,0,0,0,0,0,0
69,16890,0,0,0,0,0,0,0,0,0
70,17323,6,0,0,0,0,0,7,0,13
71,17797,0,0,0,0,0,0,0,0,0
72,17966,0,0,0,0,0,0,0,0,0
73,18092,0,0,0,0,0,0,0,0,0
74,18141,0,0,0,0,0,0,0,0,0
75,18318,0,0,0,0,0,0,0,0,0
76,18415,0,0,0,0,0,0,0,0,0
77,18538,0,0,0,0,0,0,0,0,0
78,18653,0,0,0,0,0,0,0,0,0
79,18785,0,0,0,0,0,0,0,0,0
80,19260,0,0,0,0,0,0,0,0,0
81,19389,0,0,0,0,0,0,0,0,0
82,19843,0,0,0,0,0,0,0,0,0
83,20678,0,0,0,0,0,0,0,0,0
84,20978,1,1,0,0,0,0,13,0,15
85,21567,0,0,0,0,0,0,0,0,0
86,21826,0,0,0,0,0,0,0,0,0
87,22176,0,0,0,0,0,0,0,0,0
88,22631,0,0,0,0,0,0,0,0,0
89,22718,0,0,0,0,0,0,0,0,0
90,23022,0,0,0,0,0,0,0,0,0
91,23116,0,0,0,0,0,0,0,0,0
92,23322,0,0,0,0,0,0,0,0,0
93,23663,0,0,0,0,0,0,0,0,0
94,24001,0,0,0,0,0,0,0,0,0
95,24689,0,0,0,0,0,0,0,0,0
96,24854,0,0,0,0,0,0,0,0,0
97,24927,0,0,0,0,0,0,0,0,0
98,25035,0,0,0,0,0,0,0,0,0
99,25434,0,0,0,0,0,0,0,0,0
100,25757,0,0,0,0,0,0,0,0,0
101,25806,0,0,0,0,0,0,0,0,0
102,25845,0,0,0,0,0,0,0,0,0
103,25905,0,0,0,0,0,0,0,0,0
104,26119,0,0,0,0,0,0,0,0,0
105,26491,0,0,0,0,0,0,0,0,0
106,26697,0,0,0,0,0,0,0,0,0
107,27023,0,0,0,0,0,0,0,0,0
108,27312,0,0,0,0,0,0,0,0,0
109,27864,0,0,0,0,0,0,0,0,0
110,28200,0,0,0,0,0,0,0,0,0
111,28345,0,0,0,0,0,0,0,0,0
112,28409,0,0,0,0,0,0,0,0,0
113,29095,0,0,0,0,0,0,0,0,0
114,29145,0,0,0,0,0,0,0,0,0
115,29200,0,0,0,0,0,0,0,0,0
116,29851,0,0,0,0,0,0,0,0,0
117,31875,0,2,0,0,0,0,0,0,2
118,32136,0,0,0,0,0,0,0,0,0
119,32460,0,0,0,0,0,0,0,0,0
120,32518,0,0,0,0,0,0,0,0,0
121,32570,0,0,0,0,0,0,0,0,0
122,32894,0,0,0,0,0,0,0,0,0
123,33201,0,0,0,0,0,0,0,0,0
124,33285,0,0,0,0,0,0,0,0,0
125,33351,0,0,0,0,0,0,0,0,0
126,34015,0,0,0,0,0,0,0,0,0
127,34146,0,0,0,0,0,0,0,0,0
128,34212,0,0,0,0,0,0,0,0,0
129,34483,0,0,0,0,0,0,0,0,0
130,34541,0,0,0,0,0,0,0,0,0
131,34731,0,0,0,0,0,0,0,0,0
132,34770,0,0,0,0,0,0,0,0,0
133,34837,0,0,0,0,0,0,0,0,0
134,35020,0,0,0,0,0,0,0,0,0
135,35371,0,0,0,0,0,0,0,0,0
136,35516,0,0,0,0,0,0,0,0,0
137,35837,0,0,0,0,0,0,0,0,0
138,35866,0,0,0,0,0,0,0,0,0
139,35929,0,0,0,0,0,0,0,0,0
140,36149,0,0,0,0,0,0,0,0,0
141,36215,0,0,0,0,0,0,0,0,0
142,36282,0,0,0,0,0,0,0,0,0
143,36308,0,0,0,0,0,0,0,0,0
144,36438,0,0,0,0,0,0,0,0,0
145,36516,0,0,0,0,0,0,0,0,0
146,36615,0,0,0,0,0,0,0,0,0
147,36906,0,0,0,0,0,0,0,0,0
148,37050,0,0,0,0,0,0,0,0,0
149,37115,0,0,0,0,0,0,0,0,0
150,37414,0,0,0,0,0,0,0,0,0
151,38189,0,0,0,0,0,0,0,0,0
152,38382,0,0,0,0,0,0,0,0,0
153,38485,0,0,0,0,0,0,0,0,0
154,39003,0,0,0,0,0,0,0,0,0
155,39626,0,0,0,0,0,0,0,0,0
156,40598,0,0,0,0,0,0,0,0,0
157,40719,0,0,0,0,0,0,0,0,0
158,40794,0,0,0,0,0,0,0,0,0
159,40972,0,0,0,0,0,0,0,0,0