scene_number,start_frame,Andy,Tommy,Red,Norton,Bogs,Skeet
1,0,223,0,0,0,0,0
2,293,261.9807692,0,0,0,0,0
3,528,0,0,0,0,0,0
4,570,317.8,0,0,0,0,0
5,636,321,0,0,0,0,0
6,710,229.5862069,0,0,0,0,0
7,1060,200.8888889,0,0,0,0,0
8,1304,192.4347826,0,0,0,0,0
9,1540,192.9375,0,0,0,0,0
10,1660,0,0,187.875,0,0,0
11,1959,0,0,180.1538462,0,0,83.2
12,2589,186,0,72.90909091,0,0,0
13,2940,165.8275862,0,264.6067416,0,0,182.3666667
14,3477,267.8333333,0,0,245.5524862,0,0
15,3955,264.125,0,0,0,0,0
16,4382,0,0,0,0,0,0
17,4431,0,0,0,0,0,0
18,4470,0,0,0,0,0,0
19,4756,0,0,0,0,0,0
20,4757,0,0,0,0,0,0
21,4880,0,0,385,0,0,0
22,5574,0,0,0,0,0,0
23,5648,271.0666667,0,0,0,0,0
24,5843,290.4603175,0,341.3846154,0,186,134.2
25,6776,296.1428571,0,0,0,249.3913043,0
26,6972,281.25,0,0,0,0,0
27,7026,235.8057743,0,267.6374269,0,44.5,0
28,8365,0,0,312.1666667,0,0,0
29,8594,0,0,256.4310345,0,0,0
30,8682,218.7777778,0,207.1428571,0,0,0
31,8941,234,0,0,0,0,0
32,9029,267,0,0,0,213.78125,0
33,9386,242.5555556,0,0,0,0,0
34,9473,0,0,0,0,0,0
35,9511,230.5,0,0,0,0,0
36,9620,232.7777778,0,185.6666667,226.6666667,0,63
37,9724,0,0,321,0,0,0
38,9769,223,0,185.8,0,0,0
39,9838,203.0262391,0,191.6666667,0,0,0
40,10878,279.7575758,0,356.8222222,0,0,0
41,11314,232.6489362,0,315.96875,0,0,0
42,11719,0,0,0,0,0,0
43,11991,254.7759336,0,198.3333333,0,0,0
44,12463,321,0,0,0,0,0
45,12494,304.9480519,0,0,0,197.0740741,0
46,13011,0,0,0,0,184.6,0
47,13093,0,0,0,0,332.9428571,0
48,13348,0,0,0,0,163.5714286,0
49,13405,0,0,0,0,0,0
50,13531,321,0,0,0,0,0
51,13869,0,0,181.4285714,0,0,0
52,13966,292.25,0,0,0,0,0
53,14132,0,0,0,170.25,0,0
54,14235,284.9719626,0,0,290.7302632,0,0
55,15067,215.0526316,0,0,267.6388889,0,0
56,15251,305.0625,0,0,0,0,0
57,15640,324.0833333,0,0,0,0,0
58,15965,287.1940299,0,285,0,0,0
59,16337,391,0,0,127.4615385,0,0
60,16474,0,0,0,0,0,0
61,16500,188.52,0,0,0,0,0
62,16541,0,0,0,0,0,0
63,16608,0,0,0,0,0,0
64,16641,186,0,223,0,0,0
65,16830,185.8,0,0,0,0,0
66,16885,0,0,0,0,0,0
67,16890,182.54,0,263.5517241,0,0,0
68,17323,0,0,193.4137931,0,0,185.3125
69,17797,0,0,0,0,0,0
70,17966,0,0,0,0,0,0
71,18092,0,0,0,0,0,0
72,18141,0,0,0,0,0,0
73,18318,0,0,0,0,0,0
74,18415,0,0,0,0,0,0
75,18538,0,0,0,0,0,0
76,18653,0,0,0,0,0,0
77,18785,0,0,0,0,0,0
78,19260,162.3448276,0,0,0,0,0
79,19389,374.2772727,0,0,0,0,0
80,19843,385.0153846,0,321,0,0,129
81,20678,390.0789474,0,0,221.6136364,0,0
82,20978,328.0822785,0,294.6494845,0,0,85.74285714
83,21567,155,0,270.5207101,0,0,0
84,21826,149.2222222,0,172.2758621,0,0,0
85,22176,245.4615385,0,0,0,0,0
86,22631,267.4444444,0,0,0,0,0
87,22718,309.2978723,0,248,0,0,0
88,23022,0,0,0,0,0,0
89,23116,0,0,0,189.9504132,0,0
90,23322,0,0,0,305.5974026,0,0
91,23663,386,0,0,145.7818182,0,0
92,24001,224.505814,0,312.5555556,0,0,0
93,24689,308.2816901,0,388.1724138,0,0,0
94,24854,0,267,0,0,0,0
95,24927,0,186,144.4666667,0,0,0
96,25035,339.7792208,252.620438,194.2222222,0,0,0
97,25434,243.9508197,168.5454545,0,0,0,0
98,25757,294,0,0,0,0,0
99,25806,267,0,0,0,0,0
100,25845,321,0,0,0,0,0
101,25905,0,0,0,0,0,0
102,26119,306.2727273,246.8043478,0,0,0,0
103,26491,0,308.04,267,0,0,0
104,26697,314.62,165.8218182,0,0,0,0
105,27023,321,0,144.2272727,0,0,0
106,27312,272.7405405,0,0,343.7058824,0,0
107,27864,0,205.5625,249.1666667,0,0,0
108,28200,296.9545455,0,0,0,0,0
109,28345,0,0,0,0,0,0
110,28409,0,219.1785714,0,349.8050847,0,0
111,29095,0,0,0,0,0,0
112,29145,0,0,0,0,0,0
113,29200,268,0,0,358.0606061,0,0
114,29851,247.4619342,0,371.4205749,0,0,0
115,31875,0,0,472.5714286,0,0,255.1428571
116,32136,221.9117647,0,0,257.3518519,0,0
117,32460,0,0,0,0,0,0
118,32518,222.9714286,0,0,0,0,0
119,32570,241.3636364,0,179.6153846,0,0,0
120,32894,0,0,0,0,0,0
121,33201,0,0,0,0,0,0
122,33285,0,0,247.5384615,191.1428571,0,0
123,33351,0,0,300.5444444,299.7894737,0,0
124,34015,267,0,0,0,0,0
125,34146,0,0,0,0,0,0
126,34212,221.8372093,0,0,0,0,0
127,34483,263,0,0,0,0,0
128,34541,321,0,0,104,0,0
129,34731,321,0,0,0,0,0
130,34770,301.8709677,0,0,0,0,0
131,34837,318.452381,0,0,0,0,0
132,35020,321,0,0,0,0,0
133,35371,0,0,0,0,0,0
134,35516,321,0,0,0,0,0
135,35837,0,0,0,0,0,0
136,35866,0,0,0,0,0,0
137,35929,299.1333333,0,0,0,0,0
138,36149,0,0,0,0,0,0
139,36215,0,0,0,385,0,0
140,36282,0,0,0,0,0,0
141,36308,0,0,0,374.4347826,0,0
142,36438,321,0,0,0,0,0
143,36516,0,0,0,321,0,0
144,36615,0,0,0,312.4545455,0,0
145,36906,0,0,267.3333333,0,0,0
146,37050,0,0,0,0,0,0
147,37115,0,0,236,0,0,385
148,37414,0,0,228.6031196,0,0,0
149,38189,0,0,143.76,0,0,0
150,38382,0,0,180.7058824,0,0,0
151,38485,0,0,189.6296296,0,0,0
152,39003,0,0,273.76,0,0,0
153,39626,0,0,240.8741007,0,0,0
154,40598,0,0,297.4444444,0,0,0
155,40719,0,0,218.2954545,0,0,0
156,40794,0,0,172.1764706,0,0,0
157,40972,0,0,0,0,0,0
,,138.5141069,12.86352312,79.00311204,34.95533884,10.01185296,9.573024719