scene_number,scene_start,scene_len
1,0,293
2,293,235
3,528,42
4,570,66
5,636,74
6,710,350
7,1060,244
8,1304,122
9,1426,114
10,1540,120
11,1660,299
12,1959,630
13,2589,53
14,2642,778
15,3420,57
16,3477,478
17,3955,427
18,4382,49
19,4431,39
20,4470,42
21,4512,245
22,4757,319
23,5076,498
24,5574,74
25,5648,195
26,5843,933
27,6776,196
28,6972,54
29,7026,1339
30,8365,229
31,8594,88
32,8682,259
33,8941,88
34,9029,357
35,9386,87
36,9473,38
37,9511,109
38,9620,104
39,9724,45
40,9769,69
41,9838,1040
42,10878,436
43,11314,405
44,11719,272
45,11991,472
46,12463,31
47,12494,517
48,13011,82
49,13093,255
50,13348,57
51,13405,126
52,13531,338
53,13869,97
54,13966,166
55,14132,103
56,14235,832
57,15067,184
58,15251,389
59,15640,325
60,15965,372
61,16337,137
62,16474,26
63,16500,41
64,16541,67
65,16608,33
66,16641,189
67,16830,25
68,16855,35
69,16890,433
70,17323,474
71,17797,169
72,17966,126
73,18092,49
74,18141,177
75,18318,97
76,18415,123
77,18538,115
78,18653,132
79,18785,475
80,19260,129
81,19389,454
82,19843,835
83,20678,300
84,20978,589
85,21567,259
86,21826,350
87,22176,455
88,22631,87
89,22718,304
90,23022,94
91,23116,206
92,23322,341
93,23663,338
94,24001,688
95,24689,165
96,24854,73
97,24927,108
98,25035,399
99,25434,323
100,25757,49
101,25806,39
102,25845,60
103,25905,214
104,26119,372
105,26491,206
106,26697,326
107,27023,289
108,27312,552
109,27864,336
110,28200,145
111,28345,64
112,28409,686
113,29095,50
114,29145,55
115,29200,651
116,29851,2024
117,31875,261
118,32136,324
119,32460,58
120,32518,52
121,32570,324
122,32894,307
123,33201,84
124,33285,66
125,33351,664
126,34015,131
127,34146,66
128,34212,271
129,34483,58
130,34541,190
131,34731,39
132,34770,67
133,34837,183
134,35020,351
135,35371,145
136,35516,321
137,35837,29
138,35866,63
139,35929,220
140,36149,66
141,36215,67
142,36282,26
143,36308,130
144,36438,78
145,36516,99
146,36615,291
147,36906,144
148,37050,65
149,37115,299
150,37414,775
151,38189,193
152,38382,103
153,38485,518
154,39003,623
155,39626,972
156,40598,121
157,40719,75
158,40794,178
159,40972,206